0, ffff0
1, 7c8
2, 8e9
3, 7
4, 17c8
5, fc8
6, 28e9
7, 807
8, 407
9, c07
10, 3dea
11, 207
12, 1fc8
13, 28
14, 18e9
15, ffed
16, 2feb
17, 38e9
18, 7dea
19, 3ea
20, a07
21, 1028
22, 43ea
23, 7ffef
24, 1ffee
25, 828
26, 1828
27, 428
28, 1428
29, c28
30, 23ea
31, 1c28
32, 228
33, 4e9
34, afeb
35, 1228
36, 607
37, e07
38, a28
39, 24e9
40, 107
41, 1a28
42, 907
43, 507
44, 628
45, 63ea
46, 1628
47, 14e9
48, d07
49, 34e9
50, 307
51, b07
52, 707
53, f07
54, e28
55, 1e28
56, ce9
57, 2ce9
58, 87
59, 2ffed
60, 128
61, 13ea
62, 1128
63, 6feb
64, 5ffee
65, 887
66, 1ce9
67, 3ce9
68, 928
69, 1928
70, 487
71, 528
72, 1528
73, 2e9
74, c87
75, d28
76, 1d28
77, 287
78, a87
79, 53ea
80, 328
81, 1328
82, b28
83, 1b28
84, 728
85, 22e9
86, 33ea
87, 12e9
88, 1728
89, 687
90, f28
91, e87
92, 187
93, 32e9
94, 73ea
95, 1f28
96, a8
97, efeb
98, 10a8
99, 8a8
100, bea
101, 987
102, 4bea
103, 587
104, 18a8
105, ae9
106, 4a8
107, 1feb
108, d87
109, 14a8
110, 2bea
111, 387
112, b87
113, ca8
114, 2ae9
115, 6bea
116, 787
117, 1ca8
118, 1bea
119, 2a8
120, 12a8
121, aa8
122, 1ae9
123, 1aa8
124, 6a8
125, f87
126, 16a8
127, ea8
128, 5bea
129, 3ae9
130, 47
131, 7fec
132, 1ea8
133, 1a8
134, 11a8
135, 3bea
136, 847
137, 447
138, 9a8
139, 6e9
140, 19a8
141, 5a8
142, c47
143, 26e9
144, 15a8
145, 16e9
146, 247
147, 36e9
148, a47
149, da8
150, ee9
151, 647
152, e47
153, 1da8
154, 3a8
155, 147
156, 17fec
157, 947
158, 13a8
159, 9feb
160, ba8
161, 2ee9
162, 547
163, 1ba8
164, 7a8
165, 1ee9
166, d47
167, 7bea
168, 7ea
169, 347
170, 3ee9
171, b47
172, 1e9
173, 21e9
174, 47ea
175, 17a8
176, 747
177, fa8
178, 1fa8
179, f47
180, 11e9
181, 27ea
182, 1ffff0
183, 5feb
184, c7
185, 8c7
186, 31e9
187, 67ea
188, 68
189, 3ffee
190, 17ea
191, 1068
192, 4c7
193, 868
194, 1868
195, dfeb
196, 468
197, 9e9
198, 1468
199, 29e9
200, c68
201, 19e9
202, 1c68
203, 268
204, 1268
205, 57ea
206, a68
207, cc7
208, 1a68
209, 2c7
210, 39e9
211, 5e9
212, 37ea
213, ac7
214, 668
215, 6c7
216, 77ea
217, 1668
218, fea
219, e68
220, ec7
221, 3feb
222, 1c7
223, 25e9
224, 15e9
225, 9c7
226, 1e68
227, 35e9
228, 168
229, 1168
230, 968
231, 1968
232, 568
233, 1568
234, 5c7
235, dc7
236, d68
237, 1d68
238, 368
239, 1368
240, 4fea
241, b68
242, 1b68
243, 3c7
244, de9
245, 2de9
246, 768
247, 1768
248, f68
249, 1de9
250, 1f68
251, bfeb
252, bc7
253, e8
254, 10e8
255, 0
